2023-10-18 12:27:58,801 INFO    StreamThr :2493044 [internal.py:wandb_internal():86] W&B internal server running at pid: 2493044, started at: 2023-10-18 12:27:58.800934
2023-10-18 12:27:58,803 DEBUG   HandlerThread:2493044 [handler.py:handle_request():144] handle_request: status
2023-10-18 12:27:58,805 INFO    WriterThread:2493044 [datastore.py:open_for_write():85] open: /home/augusto/symbolic/wandb/run-20231018_122758-1t895iyu/run-1t895iyu.wandb
2023-10-18 12:27:58,806 DEBUG   SenderThread:2493044 [sender.py:send():380] send: header
2023-10-18 12:27:58,806 DEBUG   SenderThread:2493044 [sender.py:send():380] send: run
2023-10-18 12:28:03,806 DEBUG   HandlerThread:2493044 [handler.py:handle_request():144] handle_request: keepalive
2023-10-18 12:28:04,402 INFO    SenderThread:2493044 [dir_watcher.py:__init__():211] watching files in: /home/augusto/symbolic/wandb/run-20231018_122758-1t895iyu/files
2023-10-18 12:28:04,402 INFO    SenderThread:2493044 [sender.py:_start_run_threads():1122] run started: 1t895iyu with start time 1697646478.800794
2023-10-18 12:28:04,402 DEBUG   HandlerThread:2493044 [handler.py:handle_request():144] handle_request: status_report
2023-10-18 12:28:04,415 DEBUG   HandlerThread:2493044 [handler.py:handle_request():144] handle_request: check_version
2023-10-18 12:28:04,416 DEBUG   SenderThread:2493044 [sender.py:send_request():407] send_request: check_version
2023-10-18 12:28:04,525 DEBUG   HandlerThread:2493044 [handler.py:handle_request():144] handle_request: run_start
2023-10-18 12:28:04,531 DEBUG   HandlerThread:2493044 [system_info.py:__init__():32] System info init
2023-10-18 12:28:04,531 DEBUG   HandlerThread:2493044 [system_info.py:__init__():47] System info init done
2023-10-18 12:28:04,531 INFO    HandlerThread:2493044 [system_monitor.py:start():181] Starting system monitor
2023-10-18 12:28:04,531 INFO    SystemMonitor:2493044 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-10-18 12:28:04,532 INFO    HandlerThread:2493044 [system_monitor.py:probe():201] Collecting system info
2023-10-18 12:28:04,533 INFO    SystemMonitor:2493044 [interfaces.py:start():190] Started cpu monitoring
2023-10-18 12:28:04,534 INFO    SystemMonitor:2493044 [interfaces.py:start():190] Started disk monitoring
2023-10-18 12:28:04,534 INFO    SystemMonitor:2493044 [interfaces.py:start():190] Started gpu monitoring
2023-10-18 12:28:04,535 INFO    SystemMonitor:2493044 [interfaces.py:start():190] Started memory monitoring
2023-10-18 12:28:04,536 INFO    SystemMonitor:2493044 [interfaces.py:start():190] Started network monitoring
2023-10-18 12:28:04,578 DEBUG   HandlerThread:2493044 [system_info.py:probe():196] Probing system
2023-10-18 12:28:04,586 DEBUG   HandlerThread:2493044 [gitlib.py:_init_repo():53] git repository is invalid
2023-10-18 12:28:04,586 DEBUG   HandlerThread:2493044 [system_info.py:probe():244] Probing system done
